City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,kavieng,-2.5744,150.7967,301.57,73,18,2.04,PG,1685062458
282,zvishavane,-20.3267,30.0665,287.96,52,15,1.77,ZW,1685062458
283,cherskiy,68.75,161.3,287.8,39,41,3.98,RU,1685062458
284,veraval,20.9,70.3667,301.5,78,8,7.68,IN,1685062458
285,te anau,-45.4167,167.7167,285.29,93,100,3.63,NZ,1685062223
286,havelock,34.8791,-76.9013,291.15,81,100,7.2,US,1685062459
287,santo anastacio,-21.8383,-51.6103,296.35,66,0,3.97,BR,1685062459
288,aksay,47.26,39.87,292.18,84,100,0.45,RU,1685062459
289,hirara,24.8,125.2833,300.07,78,40,5.14,JP,1685062459
290,elk city,35.412,-99.4043,296.14,68,0,3.09,US,1685062459
291,parichha,25.5167,78.75,300.13,48,100,6.25,IN,1685062460
292,beloha,-25.1667,45.05,290.46,80,0,4.13,MG,1685062460
293,karratha,-20.7377,116.8463,295.42,33,6,11.38,AU,1685062460
294,macusani,-14.0833,-70.4333,275.2,92,97,0.85,PE,1685062460
295,sebinkarahisar,40.2883,38.4236,282.95,79,100,1.76,TR,1685062460
296,chokurdakh,70.6333,147.9167,274.29,93,100,2.81,RU,1685062460
297,chuy,-33.6971,-53.4616,292.0,80,79,3.11,UY,1685062460
298,nicoya,10.1483,-85.452,299.17,86,95,0.46,CR,1685062460
299,eureka,40.8021,-124.1637,285.89,83,21,0.89,US,1685062205
300,pudozh,61.8099,36.5345,283.85,87,100,2.77,RU,1685062461
301,kavaratti,10.5669,72.642,302.9,68,3,4.14,IN,1685062461
302,samarai,-10.6167,150.6667,300.41,77,98,4.17,PG,1685062461
303,vila velha,-20.3297,-40.2925,294.23,96,75,1.03,BR,1685062461
304,faanui,-16.4833,-151.75,300.84,75,19,4.86,PF,1685062461
305,teguldet,57.3064,88.1667,280.73,50,8,3.14,RU,1685062461
306,pangnirtung,66.1451,-65.7125,270.81,80,99,2.87,CA,1685062461
307,atar,20.5169,-13.0499,297.44,62,100,5.29,MR,1685062462
308,atikokan,48.7555,-91.6216,290.55,51,100,2.64,CA,1685062462
309,bengkulu,-3.8004,102.2655,299.93,78,37,1.52,ID,1685062462
310,port moresby,-9.4431,147.1797,299.83,83,75,4.12,PG,1685062267
311,sfantu gheorghe,45.8667,25.7833,286.08,93,91,0.28,RO,1685062462
312,biak,-0.9131,122.8766,300.18,73,99,2.29,ID,1685062462
313,prince rupert,54.3161,-130.3201,291.2,65,0,3.09,CA,1685062239
314,yeppoon,-23.1333,150.7333,297.03,54,0,1.26,AU,1685062463
315,guerrero negro,27.9769,-114.0611,290.6,68,44,9.03,MX,1685062463
316,santa adelia,-21.2428,-48.8042,290.81,61,0,2.71,BR,1685062463
317,demba,-5.51,22.2667,294.73,76,14,1.15,CD,1685062463
318,ballina,-28.8667,153.5667,294.7,47,100,4.06,AU,1685062463
319,huarmey,-10.0681,-78.1522,295.45,79,93,4.56,PE,1685062463
320,mayo,38.8876,-76.5119,292.38,59,0,1.54,US,1685062463
321,taoudenni,22.6783,-3.9836,303.93,20,100,4.86,ML,1685062464
322,clinton,42.587,-82.9199,289.33,56,0,2.57,US,1685062464
323,san jose,37.3394,-121.895,295.67,55,20,4.63,US,1685062387
324,turukhansk,65.8167,87.9833,279.81,67,100,0.76,RU,1685062464
325,henties bay,-22.116,14.2845,287.07,90,0,6.02,NA,1685062464
326,bonavista,48.6499,-53.1147,276.55,90,100,5.28,CA,1685062464
327,plymouth,41.8334,-70.8328,287.69,67,100,0.0,US,1685062220
328,ilula,-7.6766,36.0366,289.45,96,86,2.3,TZ,1685062465
329,college,64.8569,-147.8028,296.33,28,75,3.6,US,1685062465
330,victoria,22.2855,114.1577,304.93,89,38,4.47,HK,1685062212
331,touros,-5.1989,-35.4608,298.96,85,96,5.54,BR,1685062404
332,lorengau,-2.0226,147.2712,302.12,69,17,1.03,PG,1685062465
333,saint-esteve,42.7131,2.843,289.16,92,0,3.09,FR,1685062465
334,mountmellick,53.1136,-7.32,286.35,89,12,0.45,IE,1685062465
335,pareora,-44.4871,171.2132,288.81,57,100,10.28,NZ,1685062466
336,aygedzor,38.9785,46.2079,288.31,78,62,1.23,AM,1685062466
337,vierzon,47.2101,2.0625,287.9,95,0,3.86,FR,1685062466
338,thonon-les-bains,46.25,6.5,282.97,85,6,1.65,FR,1685062466
